city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Selçuk,37.9500,27.3667,Turkey,TR,İzmir,minor,36360,36360
Gürpınar,38.3269,43.4133,Turkey,TR,Van,minor,35663,35663
Yayladağı,35.9025,36.0603,Turkey,TR,Hatay,minor,35460,35460
Kilimli,41.4833,31.8333,Turkey,TR,Zonguldak,minor,35323,35323
Artvin,41.1822,41.8194,Turkey,TR,Artvin,admin,35081,35081
Ayvacık,39.6011,26.4047,Turkey,TR,Çanakkale,minor,33568,33568
Belen,36.4917,36.1917,Turkey,TR,Hatay,minor,33540,33540
Sarıkaya,39.4936,35.3769,Turkey,TR,Yozgat,minor,33010,33010
Kınık,39.0872,27.3833,Turkey,TR,İzmir,minor,29803,29803
Nallıhan,40.1859,31.3508,Turkey,TR,Ankara,minor,28091,28091
Havran,39.5583,27.0983,Turkey,TR,Balıkesir,minor,27741,27741
İpsala,40.9181,26.3831,Turkey,TR,Edirne,minor,27498,27498
Pınarbaşı,38.7220,36.3910,Turkey,TR,Kayseri,minor,26911,26911
Maçka,40.8186,39.6136,Turkey,TR,Trabzon,minor,26626,26626
Lice,38.4549,40.6519,Turkey,TR,Diyarbakır,minor,26163,26163
Marmara Ereğlisi,40.9697,27.9553,Turkey,TR,Tekirdağ,minor,25873,25873
Hasköy,38.6864,41.6936,Turkey,TR,Muş,minor,25749,25749
Ayancık,41.9500,34.5833,Turkey,TR,Sinop,minor,23720,23720
Gökçebey,41.3133,32.1497,Turkey,TR,Zonguldak,minor,21655,21655
Yenice,41.2000,32.3333,Turkey,TR,Karabük,minor,21625,21625
Arhavi,41.3531,41.3100,Turkey,TR,Artvin,minor,20565,20565
Toprakkale,37.0639,36.1469,Turkey,TR,Osmaniye,minor,20127,20127
Fındıklı,41.1333,41.0167,Turkey,TR,Rize,minor,16902,16902
Bayat,40.6460,34.2610,Turkey,TR,Çorum,minor,16525,16525
Divriği,39.3667,38.1167,Turkey,TR,Sivas,minor,16377,16377
Sultandağı,38.5333,31.2333,Turkey,TR,Afyonkarahisar,minor,15076,15076
Çiçekdağı,39.6036,34.4158,Turkey,TR,Kırşehir,minor,14735,14735
Pazar,40.2759,36.2832,Turkey,TR,Tokat,minor,14335,14335
Eynesil,41.0500,39.1333,Turkey,TR,Giresun,minor,13955,13955
Ulubey,38.4216,29.2895,Turkey,TR,Uşak,minor,12955,12955
Beydağ,38.0869,28.2089,Turkey,TR,Kayseri,minor,12507,12507
Ardanuç,41.1233,42.0647,Turkey,TR,Artvin,minor,12056,12056
Erfelek,41.8793,34.9184,Turkey,TR,Sinop,minor,12049,12049
Çüngüş,38.2122,39.2884,Turkey,TR,Diyarbakır,minor,11927,11927
Aydıncık,36.1667,33.3500,Turkey,TR,Mersin,minor,11088,11088
Akyaka,40.7397,43.6253,Turkey,TR,Kars,minor,10985,10985
Sultanhanı,38.2481,33.5465,Turkey,TR,Aksaray,minor,10884,10884
Karkamış,36.8345,37.9983,Turkey,TR,Gaziantep,minor,10436,10436
Eceabat,40.1842,26.3575,Turkey,TR,Çanakkale,minor,8912,8912
Ovacık,39.3586,39.2164,Turkey,TR,Tunceli,minor,6998,6998
Yeniceoba,38.8708,32.7919,Turkey,TR,Konya,minor,6872,6872
Süleymanlı,37.8769,36.8253,Turkey,TR,Kahramanmaraş,minor,459,459
